Cidade;Ano;Mês;HOMICÍDIO DOLOSO (2);Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;HOMICÍDIO CULPOSO OUTROS;TENTATIVA DE HOMICÍDIO;LESÃO CORPORAL SEGUIDA DE MORTE;LESÃO CORPORAL DOLOSA;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;LESÃO CORPORAL CULPOSA - OUTRAS;LATROCÍNIO;Nº DE VÍTIMAS EM LATROCÍNIO;TOTAL DE ESTUPRO (4);ESTUPRO;ESTUPRO DE VULNERÁVEL;TOTAL DE ROUBO - OUTROS (1);ROUBO - OUTROS;ROUBO DE VEÍCULO;ROUBO A BANCO;ROUBO DE CARGA;FURTO - OUTROS;FURTO DE VEÍCULO
Cubatão;2024;Janeiro;2;2;0;0;3;0;1;0;25;12;1;0;0;4;1;3;43;41;9;0;2;94;15
Cubatão;2024;Fevereiro;1;1;0;0;1;1;2;0;20;6;4;0;0;4;1;3;35;33;7;0;2;97;8
Cubatão;2024;Março;0;0;0;0;2;0;2;1;44;11;2;0;0;0;0;0;31;27;11;0;4;118;10
Cubatão;2024;Abril;0;0;0;0;2;0;1;0;30;10;2;1;1;4;1;3;30;26;14;0;4;69;10
Cubatão;2024;Maio;0;0;0;0;3;0;0;0;33;16;0;0;0;4;3;1;33;31;16;0;2;138;7
Cubatão;2024;Junho;1;1;0;0;2;0;2;0;32;10;0;0;0;2;0;2;34;30;20;0;4;106;12
Cubatão;2024;Julho;0;0;0;0;2;0;1;0;20;7;2;1;1;2;1;1;30;26;17;0;4;84;7
Cubatão;2024;Agosto;2;2;0;0;1;0;2;0;28;15;2;0;0;1;0;1;38;35;15;0;3;207;15
Cubatão;2024;Setembro;0;0;0;0;3;0;3;1;36;9;0;0;0;3;0;3;23;23;7;0;0;149;14
Cubatão;2024;Outubro;0;0;0;0;1;0;3;1;31;17;2;2;2;1;0;1;26;26;11;0;0;174;9
Cubatão;2024;Novembro;1;1;0;0;2;0;0;0;32;12;0;0;0;2;1;1;42;39;20;0;3;146;14
Cubatão;2024;Dezembro;3;3;0;0;1;0;2;0;41;10;2;0;0;3;2;1;40;39;17;0;1;112;20
Guarujá;2024;Janeiro;4;5;0;0;1;0;2;0;80;18;19;0;0;4;1;3;242;239;4;0;3;408;19
Guarujá;2024;Fevereiro;0;0;0;0;3;0;3;0;60;12;20;0;0;10;3;7;143;142;3;0;1;276;25
